model,threshold,roc_auc,pr_auc,precision,recall,f1,confusion_matrix,mae_cases,rmse_cases,note
WeightedEnsembleNearOptimal,0.15,0.8214067346034559,0.8252141834971193,0.6221692491060786,0.8557377049180328,0.7204968944099379,"[[423, 317], [88, 522]]",,,"weights={'catboost': 0.29694170842335815, 'xgboost': 0.49535959728634066, 'lightgbm': 0.009117812822956982, 'rf': 0.0906623162319195, 'poisson': 0.10791856523542462}; val_f1_at_opt=0.7416149068322981; dirichlet+jitter"
CatBoost,0.1499999999999999,0.8272529906956136,0.8290942631789594,0.6080459770114942,0.8672131147540983,0.7148648648648649,"[[399, 341], [81, 529]]",,,
LightGBM,0.1699999999999999,0.8153433761630483,0.8210337754814627,0.6671408250355618,0.7688524590163934,0.7143945163747144,"[[506, 234], [141, 469]]",,,
XGBoost,0.2099999999999999,0.8181634913602127,0.821828278544389,0.670995670995671,0.7622950819672131,0.7137375287797391,"[[512, 228], [145, 465]]",,,
RandomForest,0.2499999999999999,0.8180416482055827,0.8244860735404054,0.6132530120481928,0.8344262295081967,0.7069444444444445,"[[419, 321], [101, 509]]",,,
PoissonRegressor,,0.5259570225963669,0.4777753037778368,0.46904024767801855,0.9934426229508196,0.637223974763407,"[[54, 686], [4, 606]]",4.470685095253273,9.896425991497573,classification_from_case_prediction_vs_district_q75
