feature,mean_abs_shap,model,normalized_importance
rainfall_total_week_lag1,0.006498411985262504,RandomForest,0.017095834753148076
humidity_mean_week_lag1,0.006071423699062636,RandomForest,0.015972526289640746
temperature_max_week,0.005700704420558794,RandomForest,0.014997248708059106
temperature_mean_week_lag2,0.00561905912734644,RandomForest,0.014782458626375118
dengue_cases_reported,0.005547551259034959,RandomForest,0.01459433778962679
humidity_max_week,0.004478467815073685,RandomForest,0.011781823911353483
rainfall_total_week,0.004134538557949861,RandomForest,0.010877024745050031
humidity_mean_week,0.0037970101541277617,RandomForest,0.009989064758929923
week_cos,0.0027066048396123406,RandomForest,0.007120457918799415
dengue_deaths_weekly,4.703939466336031e-06,RandomForest,1.2374988225995624e-05
district_case_q75,1.6013212203979492,XGBoost,0.3635704548203027
cases_roll4_mean,0.3428085744380951,XGBoost,0.07783264702742426
temperature_mean_week,0.17493028938770294,XGBoost,0.0397168813254901
temperature_mean_week_lag1,0.161722332239151,XGBoost,0.036718093245636435
cases_per_100k,0.15953567624092102,XGBoost,0.036221626012401094
rainfall_total_week_lag1,0.15254925191402435,XGBoost,0.034635399939991825
humidity_mean_week_lag1,0.1519957035779953,XGBoost,0.03450972008405069
humidity_mean_week,0.13975152373313904,XGBoost,0.03172975190627953
temperature_mean_week_lag2,0.13524973392486572,XGBoost,0.030707647317112473
worldpop_density_per_km2,0.13406971096992493,XGBoost,0.030439730126631724
year,0.1155547946691513,XGBoost,0.026236028549031173
week_sin,0.11256107687950134,XGBoost,0.02555632273827811
rainfall_total_week,0.10323169082403183,XGBoost,0.023438141146618248
rainfall_total_week_lag2,0.09925136715173721,XGBoost,0.022534432340768202
humidity_mean_week_lag2,0.09518836438655853,XGBoost,0.02161195173884059
humidity_max_week,0.09201264381408691,XGBoost,0.020890923279211004
temperature_max_week,0.09002510458230972,XGBoost,0.020439664323003048
cases_roll2_mean,0.0871131643652916,XGBoost,0.01977852562351856
cases_lag3,0.08403313905000687,XGBoost,0.01907922420262199
worldpop_total,0.07560419291257858,XGBoost,0.01716548213650545
week_cos,0.0728292465209961,XGBoost,0.016535447069937804
iso_week,0.0680181160569191,XGBoost,0.01544310852552659
dengue_cases_reported,0.05893169343471527,XGBoost,0.013380090335695097
cases_lag2,0.05202247202396393,XGBoost,0.011811392726019521
cases_lag1,0.04412057250738144,XGBoost,0.010017313459103746
dengue_deaths_weekly,0.0,XGBoost,0.0
