feature,mean_abs_shap,model,normalized_importance
cases_lag2,0.009124230401091704,RandomForest,0.023914867834918665
year,0.008771445597571748,RandomForest,0.02299020881388627
temperature_mean_week,0.008273492083449381,RandomForest,0.021685058466439443
temperature_mean_week_lag1,0.007411385449629582,RandomForest,0.019425452417370332
cases_per_100k,0.006615048184146448,RandomForest,0.017338229756512155
humidity_mean_week_lag2,0.006335352562241374,RandomForest,0.016605139562837858
humidity_mean_week_lag1,0.005855609295355056,RandomForest,0.015347718792215309
rainfall_total_week_lag1,0.00572757976204425,RandomForest,0.01501214973778548
temperature_mean_week_lag2,0.0055303226119931,RandomForest,0.014495133127551532
rainfall_total_week_lag2,0.0054753999366295965,RandomForest,0.014351179230650685
dengue_cases_reported,0.005325935910477619,RandomForest,0.013959429759805264
temperature_max_week,0.0049824524583798255,RandomForest,0.013059149845850274
ndvi_mean,0.004428258880871624,RandomForest,0.011606592689963063
rainfall_total_week,0.003976767175868336,RandomForest,0.010423220067936353
humidity_max_week,0.003893948245565639,RandomForest,0.010206149292062329
humidity_mean_week,0.0034228080631105886,RandomForest,0.008971277450840094
week_cos,0.002210631846411667,RandomForest,0.005794129051396133
dengue_deaths_weekly,3.4143696049296192e-06,RandomForest,8.949160011532092e-06
district_case_q75,1.5893173217773438,XGBoost,0.34430621220988306
cases_roll4_mean,0.3290818929672241,XGBoost,0.07129157816495289
temperature_mean_week_lag1,0.18559646606445312,XGBoost,0.040207210576884624
cases_per_100k,0.1808319389820099,XGBoost,0.039175033899358135
temperature_mean_week,0.17850765585899353,XGBoost,0.038671506310988195
humidity_mean_week_lag1,0.16790908575057983,XGBoost,0.03637545537209329
ndwi_mean,0.14905162155628204,XGBoost,0.03229021576659947
humidity_mean_week,0.1457929164171219,XGBoost,0.03158425704595935
worldpop_density_per_km2,0.14341022074222565,XGBoost,0.031068075090706408
rainfall_total_week_lag1,0.1321282684803009,XGBoost,0.028623977743744866
temperature_mean_week_lag2,0.12993881106376648,XGBoost,0.02814965850015997
year,0.10848960280418396,XGBoost,0.023502949155484235
cases_roll2_mean,0.10437171906232834,XGBoost,0.022610859870322842
humidity_mean_week_lag2,0.10309572517871857,XGBoost,0.022334431359257882
week_sin,0.10226818174123764,XGBoost,0.022155154167413295
rainfall_total_week,0.10151585191488266,XGBoost,0.021992171087007975
rainfall_total_week_lag2,0.09843768924474716,XGBoost,0.02132532469013174
cases_lag3,0.08323115855455399,XGBoost,0.018031015296373524
iso_week,0.08219517022371292,XGBoost,0.01780658106087005
temperature_max_week,0.08051760494709015,XGBoost,0.017443157005639292
ndvi_mean,0.07416234165430069,XGBoost,0.016066366731001237
humidity_max_week,0.07267916202545166,XGBoost,0.015745053955359436
worldpop_total,0.07212166488170624,XGBoost,0.01562427899918759
dengue_cases_reported,0.06321172416210175,XGBoost,0.013694049020475134
cases_lag2,0.052144069224596024,XGBoost,0.011296376574976888
week_cos,0.0454721674323082,XGBoost,0.009850990431591749
cases_lag1,0.04051952064037323,XGBoost,0.008778059913576889
dengue_deaths_weekly,0.0,XGBoost,0.0
