model,threshold,roc_auc,pr_auc,precision,recall,f1,confusion_matrix,mae_cases,rmse_cases,note
WeightedEnsembleNearOptimal,0.15,0.8214067346034559,0.8252141834971193,0.6221692491060786,0.8557377049180328,0.7204968944099379,"[[423, 317], [88, 522]]",,,"weights={'catboost': 0.29694170842335815, 'xgboost': 0.49535959728634066, 'lightgbm': 0.009117812822956982, 'rf': 0.0906623162319195, 'poisson': 0.10791856523542462}; val_f1_at_opt=0.7416149068322981; dirichlet+jitter"
CatBoost,0.1599999999999999,0.8259481612760301,0.8291717392285225,0.6126760563380281,0.8557377049180328,0.7140902872777017,"[[410, 330], [88, 522]]",,,
XGBoost,0.1399999999999999,0.8147917589720868,0.8191892193475171,0.6256218905472637,0.8245901639344262,0.7114568599717115,"[[439, 301], [107, 503]]",,,
RandomForest,0.2599999999999999,0.8175199379707576,0.8246706067966986,0.6220570012391574,0.8229508196721311,0.7085391672547636,"[[435, 305], [108, 502]]",,,
LightGBM,0.0999999999999999,0.8129330970314577,0.8187951973714517,0.6129807692307693,0.8360655737704918,0.7073509015256588,"[[418, 322], [100, 510]]",,,
PoissonRegressor,,0.5259570225963669,0.4777753037778368,0.7399527186761229,0.5131147540983606,0.6060019361084221,"[[630, 110], [297, 313]]",4.470685095251293,9.896425991500951,classification_from_case_prediction_vs_district_q75
