threshold,roc_auc,pr_auc,precision,recall,f1,confusion_matrix,model,mae_cases,rmse_cases,note
0.24999999999999994,0.8255383252104563,0.8290933587732923,0.6866764275256223,0.7688524590163934,0.7254447022428461,"[[526, 214], [141, 469]]",CatBoost,,,
0.15999999999999998,0.8169871510855117,0.819778303194215,0.6297229219143576,0.819672131147541,0.7122507122507122,"[[446, 294], [110, 500]]",XGBoost,,,
0.15999999999999998,0.8086109880372175,0.8138811294548248,0.6578212290502793,0.7721311475409836,0.7104072398190046,"[[495, 245], [139, 471]]",LightGBM,,,
0.21999999999999997,0.8184869295525032,0.8252403589802623,0.6092089728453365,0.8459016393442623,0.7083047357584077,"[[409, 331], [94, 516]]",RandomForest,,,
,0.48091936198493573,0.4551041102389752,0.6687797147385103,0.6918032786885245,0.6800966962127317,"[[531, 209], [188, 422]]",PoissonRegressor,4.621314067192733,9.520630987734009,Classification derived from predicted cases vs district_case_q75
